YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2025,1,1,20363,9E,9E,Endeavor Air Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,20368,G4,G4,Allegiant Air,3,0.00,17908978.00,17908978.00,0.00,0.00,0.00,0.00,17908978.00,0.00,464605.00,464605.00,11078.00,0.00,77114.00,0.00,88192.00,552797.00,18373583.00,88192.00,18461775.00,0.00,47510768.00,47510768.00,0.00,0.00,0.00,0.00,47510768.00,0.00,1353792.00,1353792.00,33542.00,0.00,225737.00,0.00,259279.00,1613071.00,48864560.00,259279.00,49123839.00
2025,1,1,20370,KAQ,KAQ,Kalitta Air LLC,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4326922.00,4326922.00,117350.00,7314539.00,359510.00,3434006.00,11225405.00,15552327.00,4326922.00,11225405.00,15552327.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10256691.00,10256691.00,301812.00,16954083.00,835309.00,10598042.00,28689246.00,38945937.00,10256691.00,28689246.00,38945937.00
2025,1,1,20372,KLQ,KLQ,Kalitta Charters II,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79112.00,79112.00,0.00,0.00,3424.00,0.00,3424.00,82536.00,79112.00,3424.00,82536.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253372.00,253372.00,0.00,0.00,19276.00,0.00,19276.00,272648.00,253372.00,19276.00,272648.00
2025,1,1,20377,X9,X9,Omni Air International LLC,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115119.00,115119.00,181281.00,56080.00,80249.00,1873015.00,2190625.00,2305744.00,115119.00,2190625.00,2305744.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,534600.00,534600.00,580332.00,143303.00,346805.00,5881215.00,6951655.00,7486255.00,534600.00,6951655.00,7486255.00
2025,1,1,20378,YV,YV,Mesa Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,20397,OH,OH,PSA Airlines Inc.,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,20398,MQ,MQ,Envoy Air,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,20401,3M,3M,Silver Airways,2,0.00,428629.00,428629.00,117688.00,0.00,0.00,117688.00,546317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428629.00,117688.00,546317.00,0.00,1148140.00,1148140.00,349251.00,0.00,0.00,349251.00,1497391.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1148140.00,349251.00,1497391.00
2025,1,1,20405,N8,N8,National Air Cargo Group Inc d/ba National Airlines,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,883786.00,883786.00,982192.00,1302895.00,0.00,1916678.00,4201765.00,5085551.00,883786.00,4201765.00,5085551.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2678716.00,2678716.00,2917365.00,4045085.00,0.00,5992168.00,12954618.00,15633334.00,2678716.00,12954618.00,15633334.00
