NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2024,3
0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,20452,YX,Republic Airline,YX,Republic Airline,11029,L,3,3,2024,4
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2024,2
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2024,4
0.00,6.53,0.00,0.00,663.13,663.13,0.00,140.99,0.00,140.99,1260.70,0.00,1260.70,0.00,0.00,2064.82,1667.75,6.28,0.00,213.90,74.69,36.31,,5.59,53.79,2058.30,6.08,0.00,-12.60,0.00,0.00,0.00,-6.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16757,A,3,3,2024,3
0.00,113.98,0.00,0.00,11587.25,11587.25,0.00,2463.66,0.00,2463.66,22028.89,0.00,22028.89,0.00,0.00,36079.80,29141.53,109.78,0.00,3737.54,1305.02,634.43,,97.68,939.84,35965.82,106.22,0.00,-220.20,0.00,0.00,0.00,-113.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2024,3
0.15,-9.23,0.00,0.00,1350.29,1350.29,0.00,398.68,0.00,398.68,3418.62,0.00,3418.62,0.00,0.00,5167.59,4194.92,12.07,0.00,544.33,182.43,103.57,,12.05,127.44,5176.82,24.14,0.00,-14.76,0.00,0.00,0.00,9.38,0.15,0.00,0.15,0.00,0.00,0.00,0.15,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2024,1
0.75,-296.75,0.00,0.00,42847.49,42847.49,0.00,12650.90,0.00,12650.90,108479.89,0.00,108479.89,0.00,0.00,163978.28,133117.51,383.14,0.00,17272.83,5788.84,3286.34,,382.40,4043.97,164275.03,765.90,0.00,-468.40,0.00,0.00,0.00,297.50,0.75,0.00,0.75,0.00,0.00,0.00,0.75,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,16758,P,3,3,2024,1
1.67,-122.31,0.00,0.00,12906.83,12906.83,0.00,4444.97,0.00,4444.97,12969.53,0.00,12969.53,0.00,0.00,30321.33,25543.44,97.67,0.00,2612.65,964.56,460.53,,49.79,715.01,30443.64,69.89,0.00,54.09,0.00,0.00,0.00,123.98,1.67,0.00,1.67,0.00,0.00,0.00,1.67,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2024,4
3.19,-75.45,0.00,0.00,8089.01,8089.01,0.00,2045.09,0.00,2045.09,17100.97,0.00,17100.97,0.00,0.00,27235.08,21983.13,56.63,0.00,2883.61,1026.46,569.82,,85.70,705.17,27310.53,100.61,0.00,-21.48,0.00,0.00,0.00,79.13,3.68,0.49,3.19,0.00,0.00,0.00,3.19,0.00,20100,PO,Polar Air Cargo Airways,PO,Polar Air Cargo Airways,06758,D,3,3,2024,2
9.29,-1.68,0.00,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,31362.99,31362.99,5279.54,0.00,0.00,0.00,0.00,3553.34,0.00,83.12,22448.67,31364.67,0.00,0.00,0.00,0.00,0.00,10.97,10.97,9.29,0.00,9.29,0.00,0.00,0.00,,0.00,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",01234,D,2,2,2024,2
19.65,132.58,0.00,0.00,,0.00,0.00,,4517.03,24.70,,0.00,0.00,0.00,0.12,4541.85,2331.68,434.92,534.08,536.81,0.57,286.49,0.00,284.57,0.15,4409.27,0.00,-129.98,0.00,0.00,0.00,17.05,-112.93,19.65,0.00,19.65,0.00,0.00,0.00,,0.00,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,06738,D,2,2,2024,2
37.43,9770.06,494344.36,0.00,,51.03,42935.03,,0.00,0.00,,2971.58,2316.58,0.00,44982.75,587601.32,273219.69,55668.20,56905.69,91079.52,30322.08,30635.04,,39777.70,223.36,577831.27,-15400.68,1076.86,-116.11,0.00,-1.88,4718.80,-9723.00,47.05,9.62,37.43,0.00,0.00,0.00,0.00,0.00,20409,B6,JetBlue Airways,B6,JetBlue Airways,16673,L,3,3,2024,2
46.76,59.35,5833.08,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,65.56,5898.64,2591.81,1698.72,648.27,238.20,3.76,361.89,0.00,296.63,0.00,5839.29,-28.84,0.00,0.00,20.19,0.00,9.64,0.99,60.33,13.58,46.76,0.00,0.00,0.00,,0.00,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,1
